idTweeter;fecha;autor;cuenta;seguidores;retweet;textoLimpio;polaridad;subjetivo;geolocalizacion
1,08853E+18;24/01/2019 19:54;MARIO  RAPPACCIOLI;MRAPPACCIOLI;500;1;PROMERICARD  SI  PUDIERAS  COMPRAR  QUIERES  CREDIPLUS  TARJETA  PUEDES  REALIZAR  COMPRAS  EXTRAORDINARIAS  PAGAR;0.3333333333333333;1.0;
1,08812E+18;23/01/2019 16:45;BANCO  PROMERICA;PROMERICARD;8003;1;SI  PUDIERAS  COMPRAR  QUIERES  CREDIPLUS  TARJETA  PUEDES  REALIZAR  COMPRAS  EXTRAORDINARIAS  PAGARLAS  COMODAS  CUOTAS  THIRTY-SIX  MESES  AFECTAR  LIMITE  DISPONIBLE  SOLICITALO  PUNTO  NEGOCIO  MAS  CERCANO  BENEFICIOSPROMERICA  HTTPS  TCO2S8DJCOGRZ;0.3666666666666667;0.7;REPUBLICA  DOMINICANA
1,08775E+18;22/01/2019 16:39;BANCO  PROMERICA;PROMERICARD;8003;0;CONSULTA  MILLAS  VIAJA  APROVECHA  MILLAS  VIAJA  DESTINO  MES  SPIRIT  MIAMI  UTILIZANDO  TARJETA  SPIRIT  PROMERICA  INGRESA  HTTPS  TCOXOBKPQYKKN  CONOCE  TEMPORADAS  CANJE  CIEAS  RESTRICCIONES  APLICAN  BENEFICIOSPROMERICA  TARJETASPROMERICA  HTTPS  TCOLHQWZVMKD6;0.0;0.0;REPUBLICA  DOMINICANA
1,08772E+18;22/01/2019 14:21;BANCO  PROMERICA;PROMERICARD;8003;0;ELDARI29  BUENOS  DIAS  GRACIAS  COMUNICARNOS  OCURRIDO  LAMENTAMOS  INCONVENIENTE  CONTACTANDO  VIA  MENSAJE  DIRECTO;0.16666666666666666;0.5333333333333333;REPUBLICA  DOMINICANA
1,08636E+18;18/01/2019 20:48;FELIX  RODRIGUEZ;ELDARI29;15;0;PROMERICARD  BANCO  MAS  LENTO  PAIS  PAGINA  ONLINE  MAS  ARCAICA  COMPETENCIA;0.2333333333333333;0.4666666666666666;
1,08636E+18;18/01/2019 20:47;FELIX  RODRIGUEZ;ELDARI29;15;0;PROMERICARD  BANCO  MAS  LENTO  PAIS  PAGINA  ONLINE  MAS  ARCAICA  FOUR  HORAS  MEGACENTRO  AUN  ATIENDEN;0.2333333333333333;0.4666666666666666;
1,08634E+18;18/01/2019 19:04;PAGATODO;PAGATODORD;766;0;DALE  BIENVENIDA  FIN  SEMANA  DISFRUTA  SERVICIOS  DESEAS  MANTENIENDO  DIA  TARJETA  CREDITO  PROMERICARD  TRAVES  ESTAFETAS  ALREDEDOR  PAIS  PAGATODO  UNASOLAVISITA;0.6000000000000001;0.7;REPUBLICA  DOMINICANA
1,08634E+18;18/01/2019 18:51;BANCO  PROMERICA;PROMERICARD;8003;0;COMPRA  VEHICULO  SIEMPRE  SONASTE  CONTAMOS  PERSONAL  AYUDARA  ADQUIRIR  VEHICULO  DESEAS  TWO  THOUSAND  AND  NINETEEN  BENEFICIOSPROMERICA  HTTPS  TCOLCNAQRMLID;0.0;0.3;REPUBLICA  DOMINICANA
