idTweeter;fecha;autor;cuenta;seguidores;retweet;textoLimpio;polaridad;subjetivo;geolocalizacion
1089629351728107520;2019-01-27  21:00:56;SUSY  L.;SUSYLOOR;812;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;QUITO,  ECUADOR
1089629075608649728;2019-01-27  20:59:50;MARCELO  VACA  NAVAS;MVACA1;470;0;FEGASG  BANCOPICHINCHA  ECUADOV  COENACIONAL  COEIDH  COMUNICACIONEC  PRESIDENCIA_EC  CJUDICATURAEC  ELUNIVERSOCOM  ELCOMERCIOCOM  MAS  COSAS  CONFIANZA  HIZO  BANCOPICHINCHA  INICIAR  JIICIO  RECUPERAR  DINERO  PEDI  BANCA  ENTREGUE  CHEQUE  ORIGINAL  GRAN  RESPUESTA  CHEQUE  EXTRAVIO  MIREN  ANEXO  ADJTO  CAA  BANCA  CONTESTO  FOUR  MESES  ROBO  INFAME  SUFRIDO  JUSTICIA  IGUALDAD  HTTPS  TCOV8TLJBDYUE;0.34;0.42000000000000004;QUITO
1089628723740098560;2019-01-27  20:58:26;@GEORGELOISZAPAT;GEORGELOISZAPA1;50;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;@PERU
1089628526033149953;2019-01-27  20:57:39;NINA  GAVI;NINAGAVI;279;0;UNICO  NADIE  RECLAMARA  BANCOPICHINCHA  HTTPS  TCOLHR9ORHMMY;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
1089628249079066626;2019-01-27  20:56:33;MARCELO  VACA  NAVAS;MVACA1;470;0;FEGASG  BANCOPICHINCHA  ECUADOV  COENACIONAL  COEIDH  COMUNICACIONEC  PRESIDENCIA_EC  CJUDICATURAEC  ELUNIVERSOCOM  ELCOMERCIOCOM  APELE  COE  CIVIL  PICHINCHA  BUSCANDO  JUSTICIA  REAL  SIMPLE  MOAL  INCREIBLE  LUCHA  JUDICIAL  TWENTY  ANOS  BANCOPICHINCHA  TRIBUNAL  RATIFICA  1RA  SENTENCIA  PEDI  ULTIMO  RECURSO  JUDIC  CASACION  SALIO  PROVIDENCIA  AUDIENCIA  ESTRADOS  ONE  THOUSAND,  TWO  HUNDRED  AND  TWO  MIREN  ANEXO  ADJTO  HTTPS  TCOARCJ5EWC8B;0.34;0.42000000000000004;QUITO
1089627270585696256;2019-01-27  20:52:40;MARCELO  VACA  NAVAS;MVACA1;470;0;FEGASG  BANCOPICHINCHA  ECUADOV  COENACIONAL  COEIDH  COMUNICACIONEC  PRESIDENCIA_EC  CJUDICATURAEC  ELUNIVERSOCOM  ELCOMERCIOCOM  COLMO  MALDAD  BANCOPICHINCHA  RAZON  SIXTEEN  ANOS  CENTRAL  RIESGO  SEGUI  2DO  JUICIO  DANO  MORAL  SIX  THOUSAND,  THREE  HUNDRED  AND  FIFTY-TWO  TWO  THOUSAND  AND  SIXTEEN  UNIDAD  JUDIC  CIVIL  DMQUITO  SALIO  SENTENCIA  PREMIO  BANCA  JUEZ  PONE  IRRISORIA  SUMA  ONE  THOUSAND  OO  USD  CADA  ANO  BANCA  ARRUINO  VIDA  MIREN  ANEXO  ADJTO  HTTPS  TCODJC262QXRF;0.34;0.42000000000000004;QUITO
1089626494480060418;2019-01-27  20:49:35;PATRICIA  GARCIA  MIRO;PATTYGARCIAMIRO;504;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;BUENOS  AIRES,  ARGENTINA
1089626257946484737;2019-01-27  20:48:38;MARCELO  VACA  NAVAS;MVACA1;470;1;FEGASG  BANCOPICHINCHA  PAGO  CHEQUE  NUNCA  ENTREGO  FIRMA  FSLSIF  FIFTY-FOUR  MILLION,  EIGHT  HUNDRED  THOUSAND  OO  SUCRES  SIXTEEN  MILLION,  SEVENTY-ONE  THOUSAND,  NINE  HUNDRED  AND  NINETY-SEVEN  MIREN  VIDEO  ADJUNTO  UNICO  MEDIO  PUBLICO  SACO  CASO  ECUADOV  TEN  MILLION,  TWENTY-TWO  THOUSAND  AND  SEVENTEEN  COENACIONAL  COEIDH  COMUNICACIONEC  PRESIDENCIA_EC  CJUDICATURAEC  ELUNIVERSOCOM  ELCOMERCIOCOM  HTTPS  TCO3RYYHTXROE;0.34;0.42000000000000004;QUITO
1089626223314173952;2019-01-27  20:48:30;MUJERES  ALIANZA  LIMA;MUJERESAL2018;351;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;LOS  OLIVOS,  PERU
1089624893426155521;2019-01-27  20:43:13;LUISJVARGASM;LJVM24;458;6;WALO_FA  BIENVENIDOS  PALCO  BANCOPICHINCHA  HTTPS  TCOLA89KUGGAC;0.34;0.42000000000000004;LIMA
1089624139147763712;2019-01-27  20:40:13;BLANQUIAZUL  24;DESDE_1901;2210;6;WALO_FA  BIENVENIDOS  PALCO  BANCOPICHINCHA  HTTPS  TCOLA89KUGGAC;0.34;0.42000000000000004;LA  VICTORIA,  PERU
1089624110882267142;2019-01-27  20:40:06;BLANQUIAZUL  24;DESDE_1901;2210;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;LA  VICTORIA,  PERU
1089621509033902085;2019-01-27  20:29:46;SENOR  LOBO;ARTUROGARCIAV;1120;21;SOLDADOSDELKITU  MAS  UNE  BANCOPICHINCHA  MENSAJE  BANDERAS  ECUADOR  PERU  SUSCRIBETE  BSC  HTTPS;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
1089621182758957056;2019-01-27  20:28:28;JORGE  L.  PALAO;PALAOJL;162;6;WALO_FA  BIENVENIDOS  PALCO  BANCOPICHINCHA  HTTPS  TCOLA89KUGGAC;0.34;0.42000000000000004;
1089620452010545152;2019-01-27  20:25:34;FUTBOL;RONALDBS7;442;6;WALO_FA  BIENVENIDOS  PALCO  BANCOPICHINCHA  HTTPS  TCOLA89KUGGAC;0.34;0.42000000000000004;MADRID,  COMUNIDAD  DE  MADRID
1089619909234094080;2019-01-27  20:23:25;ALIANCISMO  DEL  BUENO;ALDELBUENO;759;6;WALO_FA  BIENVENIDOS  PALCO  BANCOPICHINCHA  HTTPS  TCOLA89KUGGAC;0.34;0.42000000000000004;TRUJILLO,  PERU
1089618064247803911;2019-01-27  20:16:05;PATRICIA  GARCIA  MIRO;PATTYGARCIAMIRO;504;7;C_SALAZARC19  EMPEZARON  CAMBIOS  BANCOPICHINCHA  ESTRENARA  NOCHE  BLANQUIAZUL  ZONA  OCCIDENTE  PALCO  PIC;0.34;0.42000000000000004;BUENOS  AIRES,  ARGENTINA
1089617563494072321;2019-01-27  20:14:05;JUANCHI  RAMOS;JUANCHI_RS;42;12;FERNANDODAVILAC  BANCOPICHINCHA  SPONSOR  CLUBALOFICIAL  ESMUCHOMASLOQUENOSUNE  HTTPS  TCOWBTIKNEZAI;0.34;0.42000000000000004;PERU
